Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
LV,Female,0.2564985158214491,0.10427133894694593,0.07443353190097968,0.6054510452040232,0.11392494450638076,0.33367111157113705,0.5182617477215598,0.051945060446438415,0.7142340756420307,0.7150586268492648,0.2998485919605346,0.16617269455083697,0.25602174842826236,0.6148071838483637,0.6903611405717491,0.1453190746062237,0.6846329666806061,0.7772528778507575,0.8103477891282223,0.7791695222554643,0.399058531728972,0.7133359182809158,0.6734821654732285,0.8275757087104942,0.4578321370579107,0.18895100038646664
LV,Male,0.27370468483381855,0.11662463568144306,0.06951016160124061,0.4863298189902231,0.10190946489014818,0.3276630201878729,0.4751459746268285,0.05429201456397814,0.9517745941941221,0.8332770347638896,0.33955089616574025,0.15381272688843173,0.25918163214535,0.864830542687514,0.7366657730067953,0.19659892506373675,0.9461914802479553,0.8112010377696143,0.9134776434021245,0.9153883576864675,0.4745232403536027,0.9417352918281161,0.9363510680202625,0.9020942063272231,0.5378267602304997,0.21980769639901196
MB,Female,0.5101940573572914,0.10143735290824887,0.10391944993330167,0.5953154066678843,0.2614005621444394,0.2978647943003191,0.10458734354346837,0.12502303429301387,0.12032855189084316,0.5326599803000702,0.39443954671535425,0.3984313919512492,0.2875255158714967,0.09163709375398263,0.4129721206699727,0.0737106074077582,0.1491829908722267,0.08036473270812332,0.07261204382263106,0.05,0.18040959024447828,0.05,0.05,0.05,0.16314235344313657,0.6537900691962863
MB,Male,0.5500382253965778,0.11068872229027446,0.10395889486318406,0.6418071808560211,0.25530615765913023,0.3134422738780833,0.10670133916869436,0.127339498818482,0.12526637193473483,0.5240208536273447,0.4477568562402109,0.3995454240691978,0.2946590530435107,0.0977290617517012,0.42686977915243984,0.07071836433961179,0.16366837758350486,0.09022004539420583,0.07330190063848174,0.05,0.18662642427853665,0.05,0.05,0.05,0.16181344736433173,0.6528538113761775
ME,Female,0.544681498532982,0.10011827229320722,0.11052410575291827,0.7991308810609363,0.2966280421200215,0.3418952832999948,0.11136886990437908,0.1290362414046451,0.1330666963518971,0.5923094086211681,0.4027467355566019,0.4290765955792072,0.3304331500313943,0.09877780496699638,0.41362612705342416,0.07867511316852967,0.13986911933922694,0.06899593747582336,0.06832940858885315,0.05,0.15052033801295112,0.05,0.05,0.05,0.1720425456750188,0.6512214522748626
ME,Male,0.5915151953379231,0.103483801533894,0.1188674188930482,0.8921815332729397,0.2755681408006094,0.3474820626009666,0.11670407601163824,0.1275619944050977,0.13080849845742815,0.6240551380355578,0.4218394494865107,0.4048465012644457,0.3053991045953547,0.11721057251851952,0.43506248272155823,0.0819291492049174,0.1449864686726694,0.08195230688429747,0.07015345627320135,0.05,0.1529544814733115,0.05,0.05,0.05,0.17661995307022563,0.7109829868724991
OB,Female,0.4763652656906924,0.10121453696371378,0.07561748279200375,0.7258895296890978,0.25619818693059937,0.2743828332911278,0.11589200019282797,0.11726602263394978,0.26350147896059284,0.4646544077232432,0.40621848185427617,0.32834914622755246,0.2687802554210915,0.07565993760129705,0.45406471224252476,0.05,0.15432358492577677,0.07526507473052736,0.06574605524383417,0.05,0.20395864231495747,0.05,0.05,0.05,0.1523618120036577,0.4502716587123933
OB,Male,0.4728094221655345,0.10211097425728619,0.07522189701678364,0.7309533839594493,0.25868516497879074,0.2713199424201629,0.11704150991380882,0.11056816237848255,0.23344518304125184,0.4523882083403625,0.410095376657645,0.31224901478150113,0.2743301790843687,0.07459606006926575,0.4687173097910634,0.05004911988928168,0.16417306015738387,0.08077772022826823,0.06494259448733744,0.05,0.19125340323245538,0.05,0.05,0.05,0.15037528899446634,0.43420944295070385
OV,Female,0.23764163090351054,0.45228148470178564,0.35213201812247763,0.4031630314293612,0.30626099201200685,0.30135380680586243,0.27438390340596436,0.34267934832296376,0.1999856874781336,0.1335944441899876,0.5396453676632437,0.5192202998073119,0.43380531491074786,0.16898414572963577,0.24937260124791036,0.09039000371695226,0.169092198262994,0.09652552621190146,0.08522063368490224,0.05,0.213387138451814,0.05,0.05,0.05,0.16073181447381144,0.16811446030318575
PA,Female,0.11246220714068286,0.21160481613418466,0.2076774667538913,0.2033280939220346,0.1513721016918015,0.12464975456441993,0.10335710337078899,0.22889353541458773,0.11420247447600265,0.052896189254797776,0.224684783695013,0.22163277917673146,0.2008831063242824,0.057679592665833904,0.08068938028635468,0.13664298495202978,0.08882715633399728,0.07345857993424523,0.05591093150802653,0.05,0.06962997311073846,0.05,0.05,0.05,0.08647411402020784,0.17720055777254579
