Tissue,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
LUN,0.13431562491315158,0.15052343341266983,0.10265110814149711,0.18080864300666294,0.12422663554425253,0.14550049317343147,0.12014303078367809,0.09141294362974868,0.055147982413724636,0.09495087711262759,0.18837362101354366,0.15480002530352174,0.13307686375272249,0.06998253150531246,0.1470498934213615,0.05,0.12789154645017792,0.08358647891043039,0.10584327021288682,0.05,0.11745102683062732,0.05,0.05,0.05006649047536608,0.08457720632986213,0.1304341320098311
LV,0.2651016003276338,0.1104479873141945,0.07197184675111015,0.5458904320971232,0.10791720469826446,0.330667065879505,0.49670386117419413,0.053118537505208285,0.8330043349180765,0.7741678308065771,0.31969974406313745,0.15999271071963433,0.2576016902868062,0.7398188632679389,0.7135134567892722,0.17095899983498025,0.8154122234642808,0.7942269578101858,0.8619127162651733,0.8472789399709659,0.43679088604128735,0.827535605054516,0.8049166167467454,0.8648349575188587,0.4978294486442052,0.20437934839273933
MB,0.5301161413769345,0.10606303759926168,0.10393917239824287,0.6185612937619527,0.25835335990178476,0.3056535340892012,0.10564434135608136,0.12618126655574793,0.122797461912789,0.5283404169637075,0.42109820147778254,0.3989884080102235,0.2910922844575037,0.0946830777528419,0.41992094991120626,0.07221448587368498,0.1564256842278658,0.08529238905116458,0.07295697223055639,0.05,0.18351800726150747,0.05,0.05,0.05,0.16247790040373417,0.6533219402862319
ME,0.5680983469354526,0.10180103691355061,0.11469576232298322,0.845656207166938,0.2860980914603154,0.3446886729504807,0.11403647295800864,0.1282991179048714,0.13193759740466265,0.608182273328363,0.4122930925215563,0.4169615484218265,0.3179161273133745,0.10799418874275794,0.42434430488749114,0.08030213118672352,0.14242779400594818,0.07547412218006042,0.06924143243102726,0.05,0.15173740974313132,0.05,0.05,0.05,0.1743312493726222,0.6811022195736809
OB,0.47458734392811347,0.10166275561049998,0.0754196899043937,0.7284214568242735,0.2574416759546951,0.2728513878556453,0.11646675505331841,0.11391709250621615,0.2484733310009223,0.4585213080318028,0.4081569292559606,0.3202990805045268,0.27155521725273013,0.0751279988352814,0.46139101101679403,0.05002455994464085,0.1592483225415803,0.0780213974793978,0.0653443248655858,0.05,0.19760602277370642,0.05,0.05,0.05,0.151368550499062,0.4422405508315485
OV,0.23764163090351054,0.45228148470178564,0.35213201812247763,0.4031630314293612,0.30626099201200685,0.30135380680586243,0.27438390340596436,0.34267934832296376,0.1999856874781336,0.1335944441899876,0.5396453676632437,0.5192202998073119,0.43380531491074786,0.16898414572963577,0.24937260124791036,0.09039000371695226,0.169092198262994,0.09652552621190146,0.08522063368490224,0.05,0.213387138451814,0.05,0.05,0.05,0.16073181447381144,0.16811446030318575
PA,0.08123110357034144,0.1398164153549342,0.12883873337694565,0.1266640469610173,0.10068605084590077,0.08732487728220997,0.07667855168539449,0.13944676770729386,0.08210123723800133,0.05144809462739889,0.1519702885375541,0.15583963569244583,0.1393020398206996,0.05561309327911319,0.06804947610498426,0.1774981677168371,0.08535599763265608,0.06172928996712261,0.05295546575401326,0.05,0.06020790842322066,0.05,0.05,0.05,0.06823705701010392,0.1776907725554527
Ps,0.5633031634091238,0.10861914004575964,0.11750755726480466,0.7183297855286849,0.27466637968230134,0.3269385737925272,0.1108065423208753,0.12737117932133454,0.12373970293565721,0.5967187644552316,0.4126464876294203,0.42011915647002684,0.30734014589831415,0.10274103769314924,0.4232037825334901,0.07532418385451409,0.14361554170835938,0.07454092366390669,0.06934543657788032,0.05,0.1648649642735747,0.05,0.05,0.05,0.17261939109116647,0.685619557395868
SK,0.3101949218041834,0.2364019547101212,0.1608667099759145,0.5027977817815346,0.2336305140722062,0.2426967315792261,0.1864684902665881,0.2113642970745197,0.16688798066219263,0.19503860315804555,0.27341517054584114,0.26285978245180297,0.2552550782976003,0.08959785261566211,0.13272801343457183,0.07352265846324942,0.11706675852797643,0.09482325681997719,0.08836849373545066,0.060211899636786206,0.11934898009786529,0.05,0.05,0.05,0.15110171092303512,0.19061149123389876
SP,0.1436055508522786,0.150474971643518,0.13138482204140547,0.14784238772424022,0.08176738855337012,0.11719706695581902,0.08830967744130283,0.05496728993707819,0.05,0.09582867677369117,0.1439695852910234,0.10104095618801312,0.10161150991342174,0.1037508932689107,0.07158478272024797,0.06362499886712387,0.11227767000404987,0.05236615484067868,0.06600311143410391,0.05,0.12058018841426672,0.05,0.05,0.12226272217734768,0.06869590247267336,0.08146943547954344
