Sample,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,TCA_Cycle,Pyruvate_Dehydrogenase,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Malic_Enzyme,IDH_NADPH,Lactate_Dehydrogenase,Glutaminolysis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A216,0.49726224700715926,0.11934395076196028,0.08403822046569104,0.28678400763054185,0.2460229394569833,0.12113509418487173,0.11026038607670208,0.436804390913249,0.05000000000000001,0.5806470052427977,0.4242359710110175,0.11585191310708945,0.38964502032575626,0.37245574578888135,0.29939876854582853,0.23843298568343327,0.09138724374794634,0.4748648281052858,0.05000000000000001,0.16210010368810393,0.11095231047547385,0.07551026779736979,0.05000000000000001,0.11906621949129276,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.13957883441370264,0.4872336850025031
A186,0.5763748806217709,0.10130567311289791,0.12306137162724057,0.34396924162376086,0.27619803922628733,0.11339967784474296,0.12324815025886968,0.5811353356710881,0.08327462899636577,0.9727881519479372,0.4416709021109428,0.12956807989567762,0.6499888439624069,0.42423124866381035,0.41421651551023164,0.3143853336032061,0.12085253370163027,0.4350209064393817,0.0827680711880497,0.14207240737823873,0.07182370948308367,0.06977000303271341,0.05000000000000001,0.12156901958626871,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.1802760167025008,0.7063811733903388
A109,0.3813967323488707,0.1545168211804787,0.15200654427273622,0.6296438855525208,0.28656594582800166,0.5909752296756742,0.05467544605984156,0.5569954769527876,0.548679502311629,0.7840524006397231,0.5795342579882325,0.1667011227378264,0.3966186506664224,0.6111509027813163,0.31096670241700247,0.4000007121626629,0.21267052722484606,0.887582021168032,0.05538141069868539,0.29226642678368436,0.8593955025157035,0.1417069206328582,0.08419037701695285,0.5013461103247916,0.16571076936118392,0.10623826529737553,0.19609980869802954,0.14082234387099626,0.14082234387099626
A100,0.05000000000000001,0.06935001574922997,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05258549863544363,0.05000000000000001,0.05000000000000001,0.09196512320700082,0.1039752774850011,0.08658448280742405,0.05000000000000001,0.06035843961794185,0.1762114520860764,0.08455497325138887,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.1898386744754801
A157,0.1279978069435051,0.2020464156891134,0.23835148132318032,0.15724374783084982,0.18539181312328537,0.13153579770802992,0.07676820073005784,0.14382273720587488,0.1852568917336518,0.2938096550608562,0.10396297776278177,0.05295633090550556,0.07450018320890393,0.3373328680227171,0.3260213832355,0.31023440875229774,0.08337435349903534,0.1918849455973084,0.06318306149595088,0.10727315910934267,0.05000000000000001,0.08503054690224641,0.05000000000000001,0.1322103249614757,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.09188805840213933,0.10826756336675879
A187,0.5814683631406514,0.10510165354138393,0.11741732089920956,0.3493124783141371,0.2795713469721771,0.11813758622689154,0.13083788510650435,0.5705900289678304,0.08297138805044062,0.9294999645840865,0.4765305028263885,0.13819535002067362,0.620738257590187,0.4380128114953669,0.3972971076537267,0.31550853614727614,0.13092446904531657,0.40007025927422313,0.088218518996718,0.15654281306040813,0.08892586712007987,0.07076698556272176,0.05000000000000001,0.154383248260714,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.17617296296398421,0.7303186490055797
A211,0.48763088353006917,0.09455775377590374,0.0769174883389933,0.2826264118344698,0.2583505294714599,0.12075836269157036,0.11803588524967094,0.8794531686740865,0.06860243245891086,0.738372085798467,0.43807530458814786,0.29797875385642947,0.4808524301115059,0.4227418126705622,0.33817660341469785,0.2613021753097304,0.07650539031060567,0.49113362821849843,0.05000000000000001,0.17039928636304041,0.0749792322855461,0.064169534190921,0.05000000000000001,0.22963863058602071,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.1550568331469958,0.46578444413185016
A217,0.46372162804938083,0.11508008482004073,0.07787984147766291,0.29281830721230734,0.2763626817425443,0.12428665086494395,0.11048083992197678,0.4135538954108858,0.05000000000000001,0.5558682925677529,0.4165096075631373,0.12153716484844629,0.35231310916046726,0.42154789708452123,0.30035607664052805,0.26376072374512893,0.10340924027337617,0.47433364815707946,0.05093298569026524,0.1561764647111535,0.1065386581886191,0.07220913117438765,0.05000000000000001,0.19727013968383209,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.1327239822263609,0.46025112606697066
A218,0.5238390353745596,0.11824172317331963,0.08282797922964731,0.30388582764578126,0.26439608818989263,0.12676732455503434,0.11397402421363703,0.4631041317273975,0.05000000000000001,0.5838903573030718,0.4492918324672955,0.1362472567666423,0.4206234320325212,0.38909603178289226,0.30508611635033894,0.25638959962297647,0.10940355174191184,0.5022740078367764,0.055318584347548876,0.1610039327140947,0.12174376932212631,0.07979655309706064,0.05000000000000001,0.12804918833629922,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.14502127982343163,0.5188690697164741
A219,0.5095140681348322,0.1290605545299519,0.08120995200251427,0.29699203401784696,0.25135000613193975,0.1319723774199808,0.11580944118531458,0.4439192966407481,0.05000000000000001,0.5824985740434906,0.4245723616283469,0.13473649056963838,0.36907437539794397,0.3907719058811377,0.31668340231997383,0.2373832488284813,0.09088720273885663,0.47358342228266065,0.05000000000000001,0.15554468947934177,0.11522630793859877,0.07824019084432564,0.05000000000000001,0.13918708325059104,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.13584446536350753,0.5105709644316468
