tissue,sex,Glycolysis_mean,Glycolysis_sem,Glycolysis_count,Oxidative_PPP_mean,Oxidative_PPP_sem,Oxidative_PPP_count,Non_oxidative_PPP_mean,Non_oxidative_PPP_sem,Non_oxidative_PPP_count,TCA_Cycle_mean,TCA_Cycle_sem,TCA_Cycle_count,Pyruvate_Dehydrogenase_mean,Pyruvate_Dehydrogenase_sem,Pyruvate_Dehydrogenase_count,Fatty_Acid_Oxidation_mean,Fatty_Acid_Oxidation_sem,Fatty_Acid_Oxidation_count,Fatty_Acid_Synthesis_mean,Fatty_Acid_Synthesis_sem,Fatty_Acid_Synthesis_count,Malic_Enzyme_mean,Malic_Enzyme_sem,Malic_Enzyme_count,IDH_NADPH_mean,IDH_NADPH_sem,IDH_NADPH_count,Lactate_Dehydrogenase_mean,Lactate_Dehydrogenase_sem,Lactate_Dehydrogenase_count,Glutaminolysis_mean,Glutaminolysis_sem,Glutaminolysis_count,Alanine_catabolism_mean,Alanine_catabolism_sem,Alanine_catabolism_count,Aspartate_catabolism_mean,Aspartate_catabolism_sem,Aspartate_catabolism_count,Leucine_catabolism_mean,Leucine_catabolism_sem,Leucine_catabolism_count,Isoleucine_catabolism_mean,Isoleucine_catabolism_sem,Isoleucine_catabolism_count,Valine_catabolism_mean,Valine_catabolism_sem,Valine_catabolism_count,Serine_catabolism_mean,Serine_catabolism_sem,Serine_catabolism_count,Glycine_catabolism_mean,Glycine_catabolism_sem,Glycine_catabolism_count,Threonine_catabolism_mean,Threonine_catabolism_sem,Threonine_catabolism_count,Methionine_catabolism_mean,Methionine_catabolism_sem,Methionine_catabolism_count,Proline_catabolism_mean,Proline_catabolism_sem,Proline_catabolism_count,Arginine_catabolism_mean,Arginine_catabolism_sem,Arginine_catabolism_count,Histidine_catabolism_mean,Histidine_catabolism_sem,Histidine_catabolism_count,Lysine_catabolism_mean,Lysine_catabolism_sem,Lysine_catabolism_count,Phenylalanine_catabolism_mean,Phenylalanine_catabolism_sem,Phenylalanine_catabolism_count,Tyrosine_catabolism_mean,Tyrosine_catabolism_sem,Tyrosine_catabolism_count,Tryptophan_catabolism_mean,Tryptophan_catabolism_sem,Tryptophan_catabolism_count,Cysteine_catabolism_mean,Cysteine_catabolism_sem,Cysteine_catabolism_count,Asparagine_catabolism_mean,Asparagine_catabolism_sem,Asparagine_catabolism_count
Gas,Female,0.6968456108076502,0.01327120138037148,5,0.0652710479147302,0.0017936247910317101,5,0.0615333085991121,0.0016355927312255005,5,0.3612575573303696,0.006859471302355687,5,0.29690669556160165,0.007501837671957776,5,0.23181830629969608,0.01235345546032302,5,0.09718267145067604,0.013706686068539607,5,0.5348884484423438,0.01023126695006618,5,0.11920718214579247,0.01473757067680078,5,0.8872373687442334,0.031649692845600555,5,0.1574695042867153,0.0033312110004745836,5,0.4576110810724849,0.02565739021179295,5,0.41099369689328424,0.02452578475818935,5,0.2387460055415315,0.009046430237542449,5,0.21907258086381926,0.01208778588314643,5,0.24048500978353865,0.008155022272996932,5,0.07040214993149993,0.0026124771577868576,5,0.12541036171056558,0.004011787462102853,5,0.05,0.0,5,0.09750671598003874,0.002514908142659251,5,0.09652162073655433,0.005319994625678561,5,0.08954000421346711,0.0024296680914000324,5,0.052399046430716245,0.0023990464307162393,5,0.10236866186682406,0.0061899704116075635,5,0.050405476992436936,0.0004054769924369405,5,0.05,0.0,5,0.052371605227489036,0.002371605227489039,5,0.1431003281846753,0.004242078444065774,5,0.1431003281846753,0.004242078444065774,5
Gas,Male,0.6856131148748246,0.06074634535699873,5,0.06543576588332153,0.002052271347428866,5,0.061285774464372,0.0033062545162379125,5,0.3522740039041315,0.019721908032674224,5,0.26632570159733526,0.01063540934496059,5,0.21753485122063848,0.010207096859543888,5,0.08648678286578212,0.003265073390592638,5,0.47240432992834275,0.034771420877470406,5,0.10349767511365786,0.011316887985673636,5,0.7877938389205607,0.08097135602389677,5,0.14219682116050641,0.006311925594879979,5,0.38604847174072066,0.02158089710005112,5,0.431776748640868,0.05324412791312265,5,0.2571622568002921,0.012498373628706656,5,0.2383002033686096,0.009022044932202638,5,0.2380384206633434,0.006146237117005768,5,0.060488403609926154,0.001636905052458143,5,0.11938148809232944,0.0029156739860155658,5,0.05,0.0,5,0.09214063122585436,0.0012082767520354488,5,0.08558434542455322,0.0038011736561241183,5,0.09010796606980154,0.003751547594181906,5,0.05,0.0,5,0.08971149723768458,0.005970166041901146,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.14579605720683037,0.009115195211651278,5,0.14579605720683037,0.009115195211651278,5
H,Female,0.2687799803322394,0.00955216525089152,5,0.08110963431717202,0.0025353572643786776,5,0.05666449578723454,0.002416140952839423,5,0.6170963544751074,0.019141617312284906,5,0.39257069492743757,0.016805811103371062,5,0.5833784167602956,0.023120639048409115,5,0.19240246494410382,0.014266300022648847,5,0.7317172333180871,0.03923158634334243,5,0.772847971400162,0.025958417962854433,5,0.7501488089690488,0.02191057384676816,5,0.13832576334480656,0.003168388086314685,5,0.05,0.0,5,0.6852014606487071,0.034621811139951934,5,0.32717948497812194,0.012697175950457863,5,0.21190297625439092,0.0021844219338982567,5,0.25220019810265154,0.0033593013380962015,5,0.08761255574165534,0.007552259114229057,5,0.11219900476269537,0.00150028439190548,5,0.06272588558510764,0.0033557323864486185,5,0.09043825044461881,0.0014088392826075414,5,0.07785339520588241,0.0018310275943765578,5,0.07390203951127382,0.002096238020849183,5,0.05,0.0,5,0.09223060985131029,0.002849205818775164,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.18486951974067134,0.004564364777514793,5,0.18486951974067134,0.004564364777514793,5
H,Male,0.31450688895265116,0.02076501840298878,5,0.0904522495639887,0.0006818893500399741,5,0.06099427739911127,0.0014625741131759227,5,0.6999880237021643,0.03510475550847301,5,0.3739235022670634,0.014470975125053824,5,0.6846744684190911,0.029071339554976455,5,0.21602566959794292,0.01645971146906323,5,0.8671748742186309,0.06459322853619959,5,0.9274828004391132,0.06385327057349899,5,0.9132337462704557,0.06759389320597571,5,0.15386300597043323,0.005950163518964463,5,0.05326866193823347,0.00133574767872009,5,0.9232317680414897,0.05880646169196809,5,0.425970908693162,0.0197188476686815,5,0.2650191866091115,0.005628932028236805,5,0.29753817523845916,0.006158019719214765,5,0.10597497009826055,0.006436595144736426,5,0.12114986208869989,0.0011807283704496296,5,0.06666780926029017,0.0025494111817261217,5,0.09139254604329237,0.003044226903247815,5,0.09391996565765254,0.0024744336801858953,5,0.08174092224741407,0.0016339989230703667,5,0.05,0.0,5,0.09967133967457417,0.003113505304843156,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.21436892830406834,0.007203314859140772,5,0.21436892830406834,0.007203314859140772,5
HC,Female,0.4659533130860086,0.010753537945808588,5,0.07783285902910922,0.002326093972428583,5,0.08154857312478384,0.0013992379731149291,5,0.24447605553743101,0.003703159170454164,5,0.27138129500583136,0.005754070861896926,5,0.11025019655532804,0.0012079611959186032,5,0.10153636527873086,0.000778045422565105,5,0.6072572038420491,0.00450695866923124,5,0.07038455617188626,0.0031307811022803275,5,0.294803304988176,0.008283829347054152,5,0.4069536199459634,0.008412839898631862,5,0.17154352596927575,0.007589125984911598,5,0.3757816028777135,0.011907922881206859,5,0.3146010837676477,0.006129472350063347,5,0.2736107099174062,0.006574893986371023,5,0.19256166119849732,0.0029422152576935733,5,0.06697980483182556,0.002381835485932373,5,0.3282209759493433,0.011938598694942135,5,0.05173484383533754,0.0017348438353375392,5,0.1503332115666977,0.0022485533778189544,5,0.07304784438133688,0.0024014678108266276,5,0.06454444351860153,0.0008858699508764249,5,0.05,0.0,5,0.17711577440035448,0.013913045053221591,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.13700454917568586,0.0021698876153355964,5,0.498496867700129,0.00966599435794222,5
HC,Male,0.541822517595674,0.02656867159627029,5,0.08881465901451138,0.0028891951147532063,5,0.08706146012734228,0.0017249077589514333,5,0.25339191917658815,0.0077353738713837345,5,0.25752638654331317,0.0057075104223683485,5,0.11639023877123231,0.002704537800016392,5,0.09916678011169851,0.0029281824562639443,5,0.6929664074808152,0.018454189418757226,5,0.0699553536022691,0.006979505589624487,5,0.3245029656167401,0.0033934507774336597,5,0.3872163605663894,0.01546132607884874,5,0.1659854966445087,0.006906960150222583,5,0.41614469108659796,0.019265259866063172,5,0.33230925928278515,0.014490016852938782,5,0.2606678230297369,0.018936085734252376,5,0.17972732569510821,0.008253939609938102,5,0.07034351130512814,0.002143822753046279,5,0.3789376778871075,0.019311887612249126,5,0.05,0.0,5,0.15412631014392428,0.0032442281762652208,5,0.08470409892066896,0.0018766631460019744,5,0.06536515201280062,0.0017610325103980984,5,0.05,0.0,5,0.16751242114863937,0.013335927649293526,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.14408713662160685,0.0033960129017826714,5,0.5396561185216759,0.020352741507491386,5
KD,Female,0.35919753820469164,0.019110399188705374,5,0.13656669370163615,0.007444123208006145,5,0.13569808809484574,0.007004981588481177,5,0.6125846652412351,0.02791583362310113,5,0.3232505982615038,0.025376066435529882,5,0.5496718178818136,0.023987520039138274,5,0.0541627031180123,0.0008213553554476459,5,0.5457895004319765,0.03884754367115406,5,0.6620309678984468,0.08106985764734939,5,0.7725403648211867,0.039374876805571904,5,0.5975086030261769,0.026858809866139813,5,0.15619732196813074,0.0081982125959975,5,0.3712928823340814,0.031840805232205956,5,0.553385512219254,0.033712869582453314,5,0.3209176199585637,0.009025836656161475,5,0.39174422837053735,0.008409251165059504,5,0.20321375803909927,0.010631297621112354,5,0.838659278515322,0.037364490201368165,5,0.05416826722227772,0.0017694964084093827,5,0.3025823412867432,0.0072188163593870855,5,0.7980748710298678,0.05389611767120238,5,0.1338867000557194,0.005257007959565241,5,0.08013916462410717,0.002032000712604173,5,0.5308033903509113,0.019942309456456347,5,0.1651958518558942,0.003400581122155829,5,0.1059964581955791,0.0018143795304375637,5,0.19773899840284184,0.005495055734249893,5,0.1372604275941017,0.0051891579648679865,5,0.1356910237780138,0.006176369944768535,5
KD,Male,0.33657255646826273,0.010896434842936089,5,0.1876335283009272,0.010026367811927244,5,0.15248954445856586,0.0078215856081372,5,0.6268967308540928,0.00995640582858586,5,0.2543413229977207,0.011169393206354303,5,0.6398498245229154,0.02198582848820477,5,0.057766470060116815,0.004365215288907759,5,0.6287035625349393,0.051772164921209,5,0.5032703011139716,0.028224575453561117,5,0.9554366097162047,0.012073216374113805,5,0.636489432382942,0.017800136577757742,5,0.16996914856397694,0.011515192242620311,5,0.4483207758897082,0.018454521825996585,5,0.6895680527975807,0.014445979045236158,5,0.34145574670777545,0.002892852975332755,5,0.44349992609346095,0.0085254225931723,5,0.33203786671195795,0.013442897149887523,5,0.9070528121667282,0.02194066928179296,5,0.07669048190669761,0.0029320707964030236,5,0.41486300428357614,0.01299232879374808,5,0.9244257897475473,0.027632704261498275,5,0.09952890692910807,0.0022693358400065963,5,0.06410892859065173,0.0016910906896614362,5,0.7309582203170265,0.0266914983008506,5,0.18074475314899402,0.011981105372093464,5,0.12541171460772832,0.008505412496079274,5,0.18892976757817542,0.006419611654501789,5,0.15046145430333013,0.002977930250633354,5,0.18195352004301737,0.011815186511139103,5
LUN,Female,0.13913929964740138,0.007853787911801144,5,0.15282300201926477,0.007044993482108223,5,0.10614427179520217,0.005208354874301797,5,0.15066627150519443,0.0036573764479488234,5,0.13133995049296762,0.0067305562430765385,5,0.12498831585662765,0.0028943553289776393,5,0.08893208362875454,0.0023116598897922748,5,0.0645013342463386,0.005782691300129126,5,0.12113776002911107,0.0023540473791700627,5,0.18862625615506667,0.014036207259900138,5,0.1425164662667364,0.0035055347405906017,5,0.05487966034898635,0.0021753829782151504,5,0.10025248477075979,0.008164639231550874,5,0.1992650038288632,0.007078171487633391,5,0.16251208138916223,0.004272835052799176,5,0.1373853883404043,0.0061492169223390115,5,0.07190485561794455,0.0014052969006198973,5,0.14503403361213388,0.006844252241940464,5,0.05,0.0,5,0.12498153884918688,0.0045924455102721775,5,0.0864080317384514,0.0058520299959323625,5,0.1052256320624061,0.001777637949203585,5,0.05,0.0,5,0.11797546430849164,0.0064502218025874036,5,0.05,0.0,5,0.05,0.0,5,0.05013298095073214,0.00013298095073213935,5,0.08539169185190576,0.0026928715539929747,5,0.12972204219173464,0.0069313278937954146,5
LUN,Male,0.1294919501789018,0.006464600767744774,5,0.14822386480607486,0.006592891533636045,5,0.09915794448779207,0.005398229905978344,5,0.14033471484166854,0.005726859936424655,5,0.11711332059553743,0.003977310481033542,5,0.11529774571072857,0.006036810956218535,5,0.09389380363074282,0.001817253366472536,5,0.0606020561746761,0.004284295738342131,5,0.11539017779249913,0.008336482716224619,5,0.17299102985825918,0.004965094893815785,5,0.14412284009426385,0.0031056402347861916,5,0.05541630447846294,0.0028469251726134107,5,0.08964926945449542,0.006879203249082927,5,0.17748223819822412,0.002821698996590019,5,0.14708796921788125,0.00463160872917274,5,0.12876833916504066,0.004531952852882809,5,0.06806020739268037,0.001329784346185792,5,0.14906575323058907,0.0020155411425821766,5,0.05,0.0,5,0.13080155405116897,0.002505451262478948,5,0.08076492608240936,0.006438694790736258,5,0.10646090836336755,0.00044218883024944785,5,0.05,0.0,5,0.11692658935276298,0.005020745122038063,5,0.05,0.0,5,0.05,0.0,5,0.05,0.0,5,0.0837627208078185,0.0034459586619532815,5,0.13114622182792754,0.003116999990010167,5
