Sample,Name,Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A101,SP_6h_F_G1,SP,Female,0.1558730309438594,0.1591903717348801,0.1343407689544133,0.1643444049153269,0.0975687884222359,0.1344351795167064,0.0967658035195954,0.0545317919616451,0.05,0.1030263820821692,0.1573058002949123,0.1084285850809445,0.1196367882853732,0.1054403706752204,0.0786338106048112,0.05,0.1185746924167256,0.0555105886656543,0.0678268107872319,0.05,0.1314489453628004,0.05,0.05,0.1387432634035675,0.0717726905174137,0.0717726905174137
A12,LV_6h_M_G2,LV,Male,0.2289492094716681,0.111915510884978,0.0694073932103968,0.4989288827070693,0.0936282859392198,0.2955077255516752,0.471553831930234,0.05,0.8315328736454626,0.7570964823890441,0.3340209808961831,0.1749860201619882,0.2604295910975177,0.8956262920418757,0.6735718218665256,0.2011899170952109,0.9453144309732092,0.7657915553250396,0.859025853714974,0.917054403403206,0.497440288076643,0.9163974643082554,0.9016393326192748,0.9444685915959292,0.4844466934705272,0.1945631622878602
A119,SQ_6h_F_G4,SQ,Female,0.3410332790612082,0.678584856150232,0.7349725471634625,0.6867388974675233,0.5395644645050559,0.3743910448131141,0.3489423775755848,0.9181835459773044,0.4247240863840208,0.0951684376860715,0.7120364014837455,0.5932510297133476,0.6444194038022707,0.0776096903515774,0.2406531176481652,0.0550033761729128,0.0982935193054263,0.1382653671559421,0.0709188779696503,0.05,0.125922358743128,0.05,0.05,0.05,0.2693939824479769,0.2342495946097102
A117,SQ_6h_F_G2,SQ,Female,0.3804730760792335,0.6436999197178076,0.6552538198331234,0.7003287313778304,0.4240519912758075,0.355636956682065,0.3500989597901642,0.8434683344479879,0.4832463980153302,0.1512332249347318,0.68507505692953,0.5251930770348079,0.582225170442332,0.0761075490288759,0.2046440816691096,0.0533994332500764,0.0874053815264548,0.1250783007426783,0.076583440243011,0.05,0.1516632283371981,0.05,0.05,0.05,0.3006068274965403,0.3066048000821419
A110,KD_6h_F_G5,KD,Female,0.3940624668975132,0.1515239758735595,0.1466756803212251,0.8229664120448897,0.298497158257193,0.6512256033319948,0.5753392030553366,0.0514356108936021,0.1795426354123596,0.4315857875692758,0.6006926200212843,0.3157400678370466,0.3966869930611761,0.2251282540260107,0.9073880848327418,0.0532690315090315,0.3220520724407685,0.9274254635932868,0.1376659949069667,0.0824947723506975,0.54208543539435,0.173483991021747,0.110733124860236,0.2133857143934594,0.1468989087041282,0.1468989087041282
A13,LV_6h_M_G1,LV,Male,0.2905745817920506,0.1233748238269564,0.0705690725406594,0.511688640622855,0.0909453333342789,0.3289052178611776,0.5416796190161262,0.05,1.0,0.975243896853387,0.3730979701680892,0.1546085039645877,0.2536800152548295,0.7475920655010697,0.8446868555298005,0.1671666677899867,0.9212106455159976,0.9209218491206204,0.9733279141153351,1.0,0.5023234582231914,0.9776996831636866,0.9875041941782072,0.8380745300867003,0.5318014796394643,0.2406663531173086
A177,Ps_6h_M_G2,Ps,Male,0.5518765860693086,0.1056763906378755,0.1158596951970429,0.7496368315557028,0.2856407182538231,0.3306118765816199,0.1098698643343618,0.1263321600398027,0.1275802296364619,0.575311416707935,0.4442102150847435,0.4008337105681065,0.3095707300474175,0.1118079511434595,0.3737068957446824,0.0832289448001444,0.1580939507645246,0.0678091315629011,0.0654160276960605,0.05,0.1851468559240686,0.05,0.05,0.05,0.1696041592514663,0.6626176176748753
A189,ME_6h_M_G4,ME,Male,0.6066030349088442,0.1058619589031347,0.1196515301599077,0.8309505258331125,0.2821779209946242,0.3497476952412805,0.1181584053104733,0.1291619532686329,0.1376387519480932,0.6053102738943278,0.4161340979471385,0.4127774686127162,0.302903844959224,0.1110272655295751,0.4715401926106615,0.0838533267314973,0.146360118887081,0.0826969857842971,0.0683882819964977,0.05,0.1751873617408272,0.05,0.05,0.05,0.1739698643291889,0.704081226132069
A104,SP_6h_F_G4,SP,Female,0.0933452089782771,0.1287207236817099,0.1798981214685065,0.1405701770722368,0.0703158631605079,0.0864047681874106,0.0567872998646892,0.05,0.05,0.05,0.1214277972423696,0.0938999290408046,0.0957057117276854,0.0690740675480829,0.0665139225669224,0.05,0.0970171628219138,0.05,0.0560902519469842,0.05,0.1227685336554433,0.05,0.05,0.0877857353965616,0.05,0.05
A105,SP_6h_F_G5,SP,Female,0.1650310172479999,0.1568615497471329,0.1364839171285461,0.1538992819842647,0.1022075236658209,0.1335393240496764,0.0973750933448377,0.0558970945308839,0.05,0.1058460816195667,0.1607205271563862,0.116675176859742,0.1025240602255478,0.1158279037484365,0.0741547651757282,0.05,0.1229585845771149,0.0567053875759467,0.071275270401027,0.05,0.1325880744617165,0.05,0.05,0.1315751779838583,0.0727482239025691,0.0740995902227042
A206,Cor_6h_M_G1,Cor,Male,0.4050429128015136,0.1073130075034434,0.1117650381454077,0.6138261240203149,0.0997532440935082,0.2051879711309092,0.0946020232360504,0.0618132694148004,0.05,0.2884681445518252,0.1634867626054017,0.1203241971103099,0.1172100478153981,0.0659784058614969,0.1874445715239511,0.05,0.1373547614359463,0.0807519608134499,0.05,0.05,0.1046946229979911,0.05,0.05,0.05,0.1200974905132961,0.5135407718088824
