ex1,F6P_0,0
ex1,F6P_1,0
ex1,F6P_2,0
ex1,F6P_3,0
ex1,F6P_4,0
ex1,F6P_5,0
ex1,F6P_6,0
ex1,FBP_0,0
ex1,FBP_1,0
ex1,FBP_2,0
ex1,FBP_3,0
ex1,FBP_4,0
ex1,FBP_5,0
ex1,FBP_6,0
ex1,Fum_0,0
ex1,Fum_1,0
ex1,Fum_2,0
ex1,Fum_3,0
ex1,Fum_4,0
ex1,G6P_0,0
ex1,G6P_1,0
ex1,G6P_2,0
ex1,G6P_3,0
ex1,G6P_4,0
ex1,G6P_5,0
ex1,G6P_6,0
ex1,Gln_0,0
ex1,Gln_1,0
ex1,Gln_2,0
ex1,Gln_3,0
ex1,Gln_4,0
ex1,Gln_5,0
ex1,Glu_0,0
ex1,Glu_1,0
ex1,Glu_2,0
ex1,Glu_3,0
ex1,Glu_4,0
ex1,Glu_5,0
ex1,Lac_0,0
ex1,Lac_1,0
ex1,Lac_2,0
ex1,Lac_3,0
ex1,Mal_0,0
ex1,Mal_1,0
ex1,Mal_2,0
ex1,Mal_3,0
ex1,Mal_4,0
ex1,Oxa_0,0
ex1,Oxa_1,0
ex1,Oxa_2,0
ex1,Oxa_3,0
ex1,Oxa_4,0
ex1,Pyr_0,0
ex1,Pyr_1,0
ex1,Pyr_2,0
ex1,Pyr_3,0
ex1,S7P_0,0
ex1,S7P_1,0
ex1,S7P_2,0
ex1,S7P_3,0
ex1,S7P_4,0
ex1,S7P_5,0
ex1,S7P_6,0
ex1,S7P_7,0
ex1,aKG_0,0
ex1,aKG_1,0
ex1,aKG_2,0
ex1,aKG_3,0
ex1,aKG_4,0
ex1,aKG_5,0
ex1,m3PG_0,0
ex1,m3PG_1,0
ex1,m3PG_2,0
ex1,m3PG_3,0
