Name_M,Name,M,HP-11,HP-14,HP-16,HP-17,HP-19,HP-21,WP-12,WP-15,WP-18,WP-20
Pyrm2,Pyr,m2,0.0798,0.0876,0.0781,0.0857,0.0852,0.0827,0.0862,0.0888,0.0916,0.0889
Pyrm3,Pyr,m3,0.4799,0.4024,0.3876,0.4129,0.4491,0.4094,0.4305,0.4263,0.4078,0.4401
R5Pm0,R5P,m0,0.4482,0.4541,0.4778,0.4241,0.4232,0.4523,0.4438,0.4314,0.4375,0.4776
R5Pm1,R5P,m1,0.0657,0.0777,0.0844,0.0827,0.0706,0.0736,0.0764,0.0779,0.0787,0.0659
R5Pm2,R5P,m2,0.1578,0.1515,0.1467,0.1597,0.1534,0.1567,0.161,0.1612,0.1574,0.1425
R5Pm3,R5P,m3,0.1635,0.1625,0.1498,0.147,0.1656,0.1673,0.1769,0.1786,0.1666,0.1658
R5Pm4,R5P,m4,0.0549,0.0556,0.0508,0.065,0.0604,0.0543,0.0497,0.0558,0.0592,0.0505
R5Pm5,R5P,m5,0.1099,0.0986,0.0906,0.1216,0.1268,0.0959,0.0922,0.0951,0.1006,0.0977
S7Pm0,S7P,m0,0.2576,0.2716,0.2938,0.2381,0.2326,0.277,0.2715,0.2591,0.2611,0.2877
S7Pm1,S7P,m1,0.1023,0.1101,0.1148,0.1046,0.0952,0.1099,0.1144,0.1141,0.1133,0.1034
S7Pm2,S7P,m2,0.1828,0.1893,0.1917,0.1923,0.1923,0.1878,0.1832,0.1864,0.1914,0.1835
S7Pm3,S7P,m3,0.1738,0.1615,0.1625,0.169,0.168,0.1686,0.1723,0.1701,0.1643,0.1686
S7Pm4,S7P,m4,0.1076,0.1044,0.094,0.1119,0.1138,0.0996,0.103,0.1083,0.1075,0.0977
S7Pm5,S7P,m5,0.101,0.0996,0.0901,0.1107,0.1152,0.0954,0.0913,0.0991,0.095,0.0953
S7Pm6,S7P,m6,0.0411,0.0354,0.0296,0.0414,0.044,0.0334,0.0366,0.0371,0.0389,0.0362
S7Pm7,S7P,m7,0.034,0.0281,0.0234,0.032,0.0388,0.0283,0.0277,0.0258,0.0287,0.0276
Sucm0,Suc,m0,0,0,0,0,0,0,0,0,0,0
Sucm1,Suc,m1,0,0,0,0,0,0,0,0,0,0
Sucm2,Suc,m2,0,0,0,0,0,0,0,0,0,0
Sucm3,Suc,m3,0,0,0,0,0,0,0,0,0,0
Sucm4,Suc,m4,0,0,0,0,0,0,0,0,0,0
Uream0,Urea,m0,0,0,0,0,0,0,0,0,0,0
Uream1,Urea,m1,0,0,0,0,0,0,0,0,0,0
