State,Id,type,flux_calue,flux_std,lb,ub
reaction,r0287_MAL_lung_ex,free,1,1,0,1000
reaction,r0288_MAL_lung_ex,free,1,1,0,1000
reaction,r0289_mdh_lung_cyt,free,1,1,0,1000
reaction,r0290_mdh_lung_cyt,free,1,1,0,1000
reaction,r0291_pc_lung,free,1,1,0,500
reaction,r0292_pck1_lung,free,1,1,0,200
reaction,r0293_pck2_lung,free,1,1,0,200
reaction,r0294_fbp_lung,free,1,1,0,100
reaction,r0295_g6pc_lung,free,1,1,0,20
reaction,r0299_mae_lung,free,1,1,0,200
reaction,r0301_g6pdh_lung,free,1,1,0,200
reaction,r0302_pgd_lung,free,1,1,0,200
reaction,r0303_ri_lung,free,1,1,0,200
reaction,r0304_ri_lung,free,1,1,0,200
reaction,r0305_rbe_lung,free,1,1,0,500
reaction,r0306_rbe_lung,free,1,1,0,200
reaction,r0307_tkt1_lung,free,1,1,0,500
reaction,r0308_tkt1_lung,free,1,1,0,200
reaction,r0309_tal_lung,free,1,1,0,500
reaction,r0310_tal_lung,free,1,1,0,500
reaction,r0311_tkt2_lung,free,1,1,0,200
reaction,r0312_tkt2_lung,free,1,1,0,200
reaction,r0313_cad_lung,free,1,1,0,50
reaction,r0314_nt_lung,free,1,1,0,50
reaction,r0315_urk_lung,free,1,1,0,50
reaction,r0321_ldh_lung,free,1,1,0,1000
reaction,r0322_ldh_lung,free,1,1,0,1000
reaction,r0323_phgdh_lung,free,1,1,0,200
reaction,r0324_sal_lung,free,1,1,0,200
reaction,r0325_gptm_lung,free,1,1,0,500
reaction,r0326_gpt_lung,free,1,1,0,500
reaction,r0327_got_lung,free,1,1,0,200
reaction,r0329_gludh_lung,free,1,1,0,500
reaction,r0330_gludh_lung,free,1,1,0,500
reaction,r0331_glul_lung,free,1,1,0,500
reaction,r0332_gls_lung,free,1,1,0,500
reaction,r0333_acl_lung,free,1,1,0,100
reaction,r0335_aat_lung,free,1,1,0,50
reaction,r0336_OXPHOS_lung,free,1,1,0,1000
reaction,r0401_Glc_brain_ex,free,1,1,50,200
reaction,r0402_CO2_brain_ex,free,1,1,0,500
reaction,r0403_Lac_brain_ex,free,1,1,0,500
reaction,r0404_AcCOAmit_brain_ex,fitting,1,1,0,5
reaction,r0405_Gly_brain_ex,free,1,1,0,100
reaction,r0406_Gln_brain_ex,free,1,1,0,100
reaction,r0407_Ala_brain_ex,free,1,1,0,100
reaction,r0408_Ser_brain_ex,free,1,1,0,100
reaction,r0409_Uridine_brain_ex,free,1,1,0,10
reaction,r0410_R5P_brain_ex,free,1,1,0,50
reaction,r0411_Glc_brain_ex,fitting,1,1,0,10
reaction,r0412_CO2_brain_ex,free,1,1,0,500
reaction,r0413_Lac_brain_ex,free,1,1,0,500
reaction,r0414_AcCOAmit_brain_ex,fitting,1,1,0,10
reaction,r0415_Gly_brain_ex,free,1,1,0,100
reaction,r0416_Gln_brain_ex,free,1,1,0,100
reaction,r0417_Ala_brain_ex,free,1,1,0,100
reaction,r0418_Ser_brain_ex,free,1,1,0,100
reaction,r0419_Uridine_brain_ex,free,1,1,0,10
reaction,r0420_R5P_brain_ex,free,1,1,0,50
reaction,r0431_G6P_brain_BIO,fitting,1,1,0,10
reaction,r0432_UMP_brain_BIO,free,1,1,0,20
reaction,r0433_DHAP_brain_BIO,free,1,1,0,5
reaction,r0434_Ser_brain_BIO,free,1,1,0,5
reaction,r0435_Ala_brain_BIO,free,1,1,0,20
reaction,r0436_Asp_brain_BIO,free,1,1,0,20
reaction,r0437_Glu_brain_BIO,free,1,1,0,20
reaction,r0438_Gln_brain_BIO,free,1,1,0,20
reaction,r0439_FA_brain_BIO,free,1,1,0,10
reaction,r0440_ATP_brain_BIO,free,1,1,200,1000
reaction,r0441_NADPH_brain_BIO,free,1,1,0,500
reaction,r0442_AcAsp_brain_BIO,free,1,1,5,50
reaction,r0443_CO2_brain_BIO,free,1,1,0,100
reaction,r0460_hk_brain,free,1,1,0,200
reaction,r0461_pgi_brain,free,1,1,0,200
reaction,r0462_pgi_brain,free,1,1,0,200
reaction,r0463_pfk_brain,free,1,1,0,500
reaction,r0465_fba_brain,free,1,1,0,500
reaction,r0466_fba_brain,free,1,1,0,500
reaction,r0467_tpi_brain,free,1,1,0,500
reaction,r0468_tpi_brain,free,1,1,0,500
reaction,r0469_gapdh_brain,free,1,1,0,500
reaction,r0470_gapdh_brain,free,1,1,0,200
reaction,r0471_peph_brain,free,1,1,0,500
reaction,r0472_peph_brain,free,1,1,0,500
reaction,r0473_pk_brain,free,1,1,0,200
reaction,r0474_pyrdh_brain,free,1,1,0,200
reaction,r0475_cs_brain,free,1,1,0,200
reaction,r0477_idh_brain,free,1,1,0,500
reaction,r0478_idh_brain,free,1,1,0,500
reaction,r0479_akgdh_brain,free,1,1,0,50
reaction,r0481_sdh_brain,free,1,1,0,200
reaction,r0482_sdh_brain,free,1,1,0,200
reaction,r0483_fh_brain,free,1,1,0,500
reaction,r0484_fh_brain,free,1,1,0,500
reaction,r0485_mdh_brain,free,1,1,0,50
reaction,r0486_mdh_brain,free,1,1,0,50
reaction,r0487_MAL_brain_ex,free,1,1,0,1000
reaction,r0488_MAL_brain_ex,free,1,1,0,1000
reaction,r0489_mdh_brain_cyt,free,1,1,0,1000
reaction,r0490_mdh_brain_cyt,free,1,1,0,1000
reaction,r0491_pc_brain,free,1,1,0,500
reaction,r0492_pck1_brain,free,1,1,0,200
reaction,r0493_pck2_brain,free,1,1,0,200
reaction,r0494_fbp_brain,free,1,1,0,200
reaction,r0495_g6pc_brain,fitting,1,1,0,10
reaction,r0499_mae_brain,free,1,1,0,200
reaction,r0501_g6pdh_brain,free,1,1,0,200
reaction,r0502_pgd_brain,free,1,1,0,200
reaction,r0503_ri_brain,free,1,1,0,500
