Sample,Name,Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A5,H_6h_M_G5,H,Male,-0.3020847528250993,-0.5658032561002463,-0.5967828012540974,0.3436609439523476,-0.3045802323326941,0.0898489335979549,0.024470542659484,-0.4996574284200637,-0.6006792487896135,0.3436609439523476,-0.2352645548811103,-0.3871030009207953,-0.3528726960000503,-0.5550455525060406,-0.5370816021689899,-0.5929910971990844,-0.570480809584243,-0.5624175730918901,-0.5774951360480117,-0.6063390560476524,-0.564748206730854,-0.6063390560476524,-0.6063390560476524,-0.6063390560476524,-0.4327322582976734,-0.4327322582976734
A50,GUT_6h_M_G5,GUT,Male,-0.1321199478186463,-0.3225810950696123,-0.2387122479676054,0.4629051447895547,-0.4311731030425391,-0.1028690557815941,-0.2935851804893477,-0.4808772887522399,-0.0828339846730465,-0.3831823511969927,-0.4642092367146553,-0.4798647976592682,-0.4733620995074668,-0.2594610095423227,-0.4046432191130844,-0.3817231163628819,-0.443170997161277,-0.3649546704952149,0.1828344815391742,-0.4870948552104453,-0.4765113441610181,-0.4870948552104453,-0.4870948552104453,-0.4870948552104453,-0.4493701426109011,-0.3654930120319263
A51,Gas_6h_M_G1,Gas,Male,0.2834988288752036,-0.2087046523379778,-0.215493373489605,0.3169851656877694,-0.0044043495011378,0.051475241282605,-0.066661401441277,-0.1905946091800065,0.0654097302258031,0.0289876910222314,-0.0510813115185461,-0.057523015362399,-0.052440173663867,-0.2120780073456215,-0.1550821278956433,-0.2194635244416692,-0.1734652267489696,-0.1933822252042781,-0.19116861197044,-0.2194635244416692,-0.1700716486121908,-0.2194635244416692,-0.2194635244416692,-0.2194635244416692,-0.1473055907116202,-0.1473055907116202
A52,Gas_6h_M_G2,Gas,Male,0.3246139960332802,-0.2080861539561183,-0.2129997190855164,0.4024936351234135,0.0011529427640315,0.0794272737332895,-0.0617427322099095,-0.1848201893687402,0.1015090909331598,0.1780568421294001,-0.0259411836569771,-0.0275430918600524,-0.0312527027505867,-0.211408615733083,-0.1547307249278171,-0.2194635244416692,-0.1759123719521795,-0.1910628268746248,-0.1820486803275247,-0.2194635244416692,-0.1624420645210471,-0.2194635244416692,-0.2194635244416692,-0.2194635244416692,-0.119877367566932,-0.119877367566932
A53,Gas_6h_M_G3,Gas,Male,0.5068818187832358,-0.1975058002671995,-0.196843024152896,0.7305364755583308,-0.031439401053859,0.0911097639980939,-0.0620502595141331,-0.1812735503789057,0.1360181714331438,0.061095311412203,0.0100681553973363,-0.0441388563743299,-0.0347627358604323,-0.2043770661142154,-0.1428863926806383,-0.2194635244416692,-0.1783190543594107,-0.1782389158751086,-0.1744326920431207,-0.2194635244416692,-0.1900766668347963,-0.2194635244416692,-0.2194635244416692,-0.2194635244416692,-0.1409024813815975,-0.1409024813815975
A32,VF_6h_M_G2,VF,Male,-0.1507540229708832,0.0107159139412049,-0.1528625269118624,0.1082202194275073,-0.1909772433534148,-0.1122309655350417,-0.0995775319550366,-0.1989459725454089,-0.1033391358024007,0.526981805709386,-0.031435305651856,-0.1188686693824311,-0.091025355331889,-0.1844052215191648,0.3515686428450221,-0.2478304051640622,-0.1763460291695093,-0.1308641392227706,-0.1866904194079403,-0.2478304051640622,-0.1423248804792047,-0.2478304051640622,-0.2478304051640622,-0.2478304051640622,0.2637187570863986,0.129016793513468
A33,VF_6h_M_G3,VF,Male,-0.1252193146060383,0.0396347920315448,-0.1217768747276139,-0.0016640790921332,-0.1255624733403554,-0.0738101661993781,-0.1221143361963583,-0.1321676375211734,-0.0954274917707224,0.5606607550063218,0.0936162990587938,0.0543717247018416,0.0211483476327162,-0.1124082779291444,0.5075060079109477,-0.2478304051640622,0.03134750971262,-0.1640517350754229,-0.1945809163997702,-0.2478304051640622,-0.1024183357103645,-0.2478304051640622,-0.2478304051640622,-0.2478304051640622,0.2708109507003275,0.3065285373594731
A34,VF_6h_M_G4,VF,Male,-0.1566781862547223,-0.0672240278513937,-0.1962498925438185,0.1441243190297481,-0.2023310762923816,-0.1266006701005996,-0.1567765241881973,-0.204455126328431,-0.1529956352776083,0.7021695948359377,-0.07452893714414,-0.1461842352404186,-0.1507867013861359,-0.1349226043098872,0.475692029281584,-0.2452182302392945,-0.1249523184788437,-0.1600426249468319,-0.1863030654304677,-0.2478304051640622,-0.1032111083671716,-0.2478304051640622,-0.2478304051640622,-0.2478304051640622,0.218670424882562,0.1192111983291572
A35,VF_6h_M_G5,VF,Male,0.1315996062524494,0.6714221219067287,0.4884579829390297,0.5174957774547848,0.4058615875126305,0.1177832635334437,0.0114833027067423,0.6261651722662318,0.4387873868908977,-0.2478304051640622,0.6070524230164984,0.4273368810713573,0.5068336501806161,-0.2395030965610802,-0.1384126765317796,-0.2478304051640622,-0.1803761203796177,-0.0725495578000621,-0.2198251703783054,-0.2478304051640622,-0.1487779940699432,-0.2478304051640622,-0.2478304051640622,-0.2478304051640622,-0.0754165688542006,-0.0933946668970115
A36,SQ_6h_M_G3,SQ,Male,-0.0618114267250392,0.2923837544206837,0.3015200261826287,0.3256415218402179,0.1499730096362386,-0.0853917499116405,-0.0968213849759955,0.3440829846918076,-0.0128542673101761,-0.4806465726703783,0.2673994283517227,0.0695649973119814,0.1928921925646337,-0.4792032523964842,-0.3882469514725495,-0.4817819054584802,-0.4374288919505503,-0.3626379496961419,-0.4739894258955756,-0.4928946604274433,-0.4201817791102314,-0.4928946604274433,-0.4928946604274433,-0.4928946604274433,-0.3303842552554136,-0.3226496985301785
A37,SQ_6h_M_G2,SQ,Male,-0.1802841766792977,0.1295306150456496,0.0094094027449456,0.2723889541916848,0.0923390581081845,-0.1312087993213559,-0.1957804319184724,0.1066353142969859,-0.0631468788683325,-0.4414999826461031,0.2981911835192339,0.1583103748573026,0.2319744761863535,-0.4881056942062325,-0.3964150019203881,-0.4928946604274433,-0.4343381642357379,-0.3948200887183842,-0.4626660584381125,-0.4928946604274433,-0.3619840721801299,-0.4928946604274433,-0.4928946604274433,-0.4928946604274433,-0.2931810809811511,-0.2764451796399353
A38,SQ_6h_M_G1,SQ,Male,0.0378574714282726,-0.2888223469249379,-0.3029545110132753,0.334208331783677,-0.173398490550736,-0.2210359984536367,-0.2877881984307404,-0.2968481388194824,-0.2768805387392018,-0.3421404034467568,-0.1199347601691914,-0.1369419158269646,-0.1218211390693021,-0.4796768079382881,-0.4048053123178631,-0.4928946604274433,-0.44257122163823,-0.4307888450949186,-0.4480668546080699,-0.4928946604274433,-0.4195847420241846,-0.4928946604274433,-0.4928946604274433,-0.4928946604274433,-0.3302333312503938,-0.3272309633756164
A39,SQ_6h_M_G4,SQ,Male,-0.0486184173065106,0.1814893438260487,0.191513531697027,0.3034369889867678,0.2578306673671509,-0.087404620429069,-0.159563551223308,0.1485723938284633,-0.1368563664800497,-0.4661759318972367,0.0608437765346969,0.0319857665212252,0.1023050310188106,-0.4849571262795606,-0.3979343982526758,-0.4928946604274433,-0.4366109075367425,-0.4046150608595649,-0.4695338762546909,-0.4928946604274433,-0.4237475741351697,-0.4928946604274433,-0.4928946604274433,-0.4928946604274433,-0.3276852356556375,-0.3505995439018969
A4,H_6h_M_G4,H,Male,-0.3539577938066131,-0.5664144014954059,-0.5933749212774458,0.2673763093637995,-0.3036936041877479,0.0462138529937165,0.0123834320843234,-0.4464155609827764,-0.6009575478259037,0.3163313728339685,-0.2136212831640978,-0.3890385163714513,-0.3610920899471178,-0.5456024074662058,-0.5353556933103563,-0.5863659666578948,-0.5634235735617629,-0.5649074351530228,-0.5711611268274899,-0.6063390560476524,-0.5508653373659844,-0.6063390560476524,-0.6063390560476524,-0.6063390560476524,-0.4358089641234865,-0.4358089641234865
A40,SQ_6h_M_G5,SQ,Male,0.0101429435250099,0.1203782415768228,0.1617008488524141,0.1392149670706332,0.2679774472779046,-0.046387650274243,-0.1377991043339382,0.1131577153577425,-0.2523107095352961,-0.4265725611332667,-0.0684661372374297,-0.0693793845860933,0.0080094924807074,-0.4663707153066808,-0.3985025926861418,-0.4781888970885454,-0.4428024927069203,-0.4066203623080786,-0.4707830375915046,-0.4928946604274433,-0.4382745611625029,-0.4928946604274433,-0.4928946604274433,-0.4928946604274433,-0.292074935591695,-0.3485416673562742
A41,BAT_6h_M_G3,BAT,Male,-0.3650733862007682,-0.1750239885331627,-0.0034962803502657,-0.2686507472015162,-0.009478303465261,-0.0880412804141308,-0.0900596673232402,-0.2419318173630251,-0.7979097098892534,-0.8726654948850189,-0.3285136104378008,-0.4434417637181201,-0.2276945096539145,-0.7742053778159941,-0.768043818706836,-0.8299496511750812,-0.8233222949311467,-0.7606258653150852,-0.8655269383130905,-0.8726654948850189,-0.8340659772619525,-0.8726654948850189,-0.8726654948850189,-0.8726654948850189,-0.7340669300702463,-0.7959021381319367
A183,MB_6h_M_G3,MB,Male,0.3794275310113705,-0.1048218292916499,-0.1120057479440217,0.4873270560583787,0.0159537079602424,0.1055371052583702,-0.1151703078916201,-0.0890583808876418,-0.094102493935204,0.3239780936156026,0.2318549174257276,0.1168651138085291,0.0678429377830178,-0.1210558754268588,0.216363935918174,-0.1553216041785282,-0.0643736578052719,-0.1281129140337561,-0.1511802737688173,-0.1745452279449365,-0.0414139282589791,-0.1745452279449365,-0.1745452279449365,-0.1745452279449365,-0.0589367557038492,0.4841080259501567
A166,OB_6h_M_G1,OB,Male,0.207778322016641,-0.1374963388023256,-0.1546869432503604,0.4217336979429859,0.026887020629448,0.0379015611231623,-0.1288163441363323,-0.1237845011436545,-0.0325397556805331,0.1931774035878805,0.151485656761,0.0889623517885992,0.0225050346905509,-0.1638135359555773,0.1991711686444389,-0.1823982207420769,-0.0783982557478647,-0.1539902603248767,-0.1686208134664594,-0.1823982207420769,-0.0438702754004863,-0.1823982207420769,-0.1823982207420769,-0.1823982207420769,-0.0865257380165887,0.2316900356349371
A171,CB_6h_M_G1,CB,Male,0.2491313929940476,-0.088458823913636,-0.1378059333688541,0.3916894702202732,0.0125899266375995,0.0576275372407106,-0.1039904244388923,-0.0954680281484886,-0.0947443376119463,0.1774981003639542,0.1322889206513615,0.0077542983214852,0.0138923750482709,-0.1077323750787249,0.153793932656208,-0.1616299328538279,-0.0454321368044779,-0.1067500929037646,-0.1432103447069166,-0.1616299328538279,-0.0698975090491917,-0.1616299328538279,-0.1616299328538279,-0.1616299328538279,-0.0721437268659629,0.2621101820533958
A175,CB_6h_M_G5,CB,Male,0.2484091974224918,-0.1052661780115604,-0.1314175761946701,0.352135487048424,0.0846017969372334,0.1001820506952936,-0.0992255089247127,-0.0968826816425262,-0.0671927330192171,0.1655257673371852,0.2421781531283908,0.1206403249259452,0.0549892351300483,-0.10117039297014,0.2659182109354928,-0.1496695263728318,-0.0230314564668559,-0.0870920499403595,-0.1378823470697963,-0.1616299328538279,-0.0456657138293981,-0.1616299328538279,-0.1616299328538279,-0.1616299328538279,-0.0743062822704318,0.2777185936427045
A199,TH_6h_M_G4,TH,Male,0.2838375420459482,-0.107128593702533,-0.099602001426284,0.4616483048251143,-0.0117471610219615,0.0778451481916175,-0.1152803793207884,-0.1142635863094422,-0.1054540822041933,0.3098591958473778,0.1334731441312547,0.0606845827331787,0.0201771466675423,-0.1289708550870527,0.2529564006440561,-0.1510744798181217,-0.0822653368487931,-0.1424160808137353,-0.1557664999410842,-0.1775080881200356,-0.1042689425953828,-0.1775080881200356,-0.1775080881200356,-0.1775080881200356,-0.0635923652671907,0.4152804460345944
A131,Gas_6h_F_G1,Gas,Female,0.4132129300724375,-0.2251754272751681,-0.2335140731410578,0.5804338139664279,0.017619759511627,0.0994432219255769,-0.0425762980369523,-0.2055145286957718,0.1167895027408739,0.1951850532291946,-0.0420914371805627,-0.0733619309095549,-0.0435232552836324,-0.2250118937487567,-0.1692847957460354,-0.2398849032894685,-0.1955686643000004,-0.2020557165317122,-0.205450081203361,-0.2398849032894685,-0.1966023886676746,-0.2398849032894685,-0.2398849032894685,-0.2398849032894685,-0.134149557828224,-0.134149557828224
A153,SK_6h_F_G3,SK,Female,-0.0429430412017839,0.0428061626678707,-0.0589439225115172,0.1213995948026012,-0.096250546036564,-0.058538855480382,-0.0989721559949023,-0.1589680594284543,-0.1679025375045769,-0.0842868175971824,-0.0784946676165453,-0.1042361237064856,-0.0869554583932983,-0.1463721592652862,-0.124648764687186,-0.1482098134862414,-0.104838940806855,-0.191372589678531,-0.1825781139860282,-0.2096252252850751,-0.1574633373624038,-0.2112122286721606,-0.2112122286721606,-0.2112122286721606,-0.1671576139329097,-0.03209403453339
A164,OV_6h_F_G4,OV,Female,-0.0691178933098784,0.0623640282429754,-0.0387419241557568,-0.0149022891943184,-0.0523443592803788,0.0414602401438597,0.0323064997665061,-0.0857313583827527,-0.1090086789748176,-0.1202224593160737,0.2435188668426565,0.2400512159818104,0.1230606299304258,-0.0361940314915344,-0.0045896427033444,-0.1572658119636306,-0.0317979659307235,-0.192218919228904,-0.1824055838725349,-0.2239604934845342,-0.0302133655769124,-0.2239604934845342,-0.2239604934845342,-0.2239604934845342,-0.130975615626721,-0.1063071365056674
A142,DP_6h_F_G2,DP,Female,-0.0572530025023583,-0.2591400561086834,-0.2776218416672324,0.0983153733332939,0.0619089397400978,0.1390187632183906,0.0863823677342961,-0.2576588149216928,-0.2234117655358437,0.1466364598625844,-0.0560254178910313,-0.0574124829772644,-0.0576781337260499,-0.2806349762993958,-0.2251975357244707,-0.3008329671515684,-0.252332670227083,-0.2596970923321187,-0.2659969242331412,-0.3008329671515684,-0.2169851314043911,-0.3008329671515684,-0.3008329671515684,-0.3008329671515684,-0.1931197104141982,-0.1931197104141982
A127,GUT_6h_F_G2,GUT,Female,-0.1897126375664291,-0.3241941141113751,-0.2687953470315986,0.2354456280680905,-0.3398371105010998,-0.0882416654484555,-0.273166445919357,-0.4315431541997836,-0.1895332821838184,-0.36986033395348,-0.4097552539643484,-0.4311331559886663,-0.4210065576035545,-0.2830036197278235,-0.3628948513447428,-0.3643133095486128,-0.3711154571175719,-0.3518566226814583,0.1875577056650949,-0.4315431541997836,-0.4059004123616175,-0.4315431541997836,-0.4315431541997836,-0.4315431541997836,-0.4068160439096407,-0.3326761342683846
A15,LV_6h_M_G5,LV,Male,0.2769513945630923,0.0519753397344822,-0.0050370442498174,0.3206180089688707,0.0268595043996829,0.3348640201425908,0.3592227157874856,-0.00378835259852,0.9247515745815892,0.8452188717922335,0.2669998675434369,0.0572251190261794,0.1665229115985652,0.9192979901640952,0.6140565327670576,0.1471389137837131,0.9071838455799768,0.8230811179495162,0.7196903367844139,0.9247515745815892,0.4083302767935343,0.9038665895101916,0.9247515745815892,0.8273522123055448,0.4979392888878208,0.157109748534994
A170,OB_6h_M_G5,OB,Male,0.267868237656421,-0.1273612640831159,-0.1535544665853403,0.5170211446793163,0.0242733843920348,0.0421431730135585,-0.1075407968200889,-0.1167579736633605,0.0447876194029565,0.2225232244273587,0.2178048879915612,0.087645860329119,0.0417906108639383,-0.1515118547576487,0.2675038236047199,-0.1823982207420769,-0.0558398285988421,-0.1424503273162718,-0.1618997686838,-0.1823982207420769,-0.0355337455561658,-0.1823982207420769,-0.1823982207420769,-0.1823982207420769,-0.0815802103505067,0.2037682938826596
A204,Str_6h_M_G4,Str,Male,0.2712927436133784,-0.1044468342684554,-0.1125988051637508,0.4228628579633049,0.0070895316522975,0.0556140391437225,-0.0885666555015726,-0.0915068052626956,-0.0413757692945818,0.2694805928420063,0.1275182018970338,0.0748952536167311,0.0265044477573777,-0.1397163851824694,0.2210510415800761,-0.1516334736055875,-0.0468006973071871,-0.0930885542253032,-0.1359180332617561,-0.1564468548198513,-0.0528811738571016,-0.1564468548198513,-0.1564468548198513,-0.1564468548198513,-0.0521861262364141,0.3413079265515205
A167,OB_6h_M_G2,OB,Male,0.2121212225734744,-0.1323180380333559,-0.1553955354514013,0.5286835427964325,0.0139443817073788,0.0468785496261139,-0.1216108222336588,-0.1277735431431529,0.0037186330475606,0.2157071575564367,0.1604227554722755,0.0511539445390443,0.0253862466810916,-0.1595953201252872,0.2146901135145916,-0.1823982207420769,-0.0809222733930625,-0.1567171967560617,-0.1695096060063241,-0.1823982207420769,-0.0679365457821999,-0.1823982207420769,-0.1823982207420769,-0.1823982207420769,-0.0827143240967608,0.1948707095509905
A143,DP_6h_F_G3,DP,Female,-0.0263151881666038,-0.2725605709241104,-0.2836334504006095,0.1452134985266834,0.0581454228664996,0.1610514300524979,0.1589018336461269,-0.263527345200375,-0.1429038300376089,0.2484503254576927,0.0032141373934103,-0.0220793533519059,-0.0423385518176974,-0.2578657951356446,-0.1914651502698166,-0.3008329671515684,-0.2022486044783951,-0.1975694852920082,-0.2089332165066551,-0.28250300077577,-0.2195049699189134,-0.2837073559424435,-0.2905421827935843,-0.2563814724079495,-0.1777313651068066,-0.1777313651068066
A10,LUN_6h_M_G5,LUN,Male,0.0201581173572636,0.0540327530760228,-0.0051250963990198,0.0702972528016543,0.0200842923358694,0.0414649104267305,0.0080995893215227,-0.0030945353204954,-0.0483731250851211,-0.0114634012725439,0.0740600622570109,0.0455090295184228,0.0232007011267804,-0.0294282619747854,0.0426837568257728,-0.0483731250851211,0.033677086262865,-0.0238890812104729,0.0098402583013436,-0.0483731250851211,0.0169743951819698,-0.0483731250851211,-0.0483731250851211,-0.0483731250851211,-0.0080255829255651,0.0397735281611215
A145,DP_6h_F_G5,DP,Female,-0.1923415790686283,-0.2294779123362591,-0.2623188621957245,-0.1563064033525966,-0.1303227977036474,-0.1117469425240608,-0.1399913664942539,-0.2692429471370292,-0.2683769383993023,-0.0587488560700859,-0.1257454825696341,-0.1280238183864303,-0.1481949187750935,-0.2615846951462289,-0.2566611473613904,-0.262343522121661,-0.2203649838020863,-0.2867949957439539,-0.2777479292564687,-0.3008329671515684,-0.2524356876965405,-0.3008329671515684,-0.3008329671515684,-0.2918513698799579,-0.2299851059620788,-0.0794304744606429
A181,MB_6h_M_G1,MB,Male,0.3499570662308344,-0.1187533691511125,-0.1212157982801122,0.3650178888045535,0.0255940775262871,0.1219701885062952,-0.119080558052812,-0.0962839520688392,-0.0912399895619334,0.3169035331906937,0.233555360501106,0.2126595116805368,0.0865690833782569,-0.1340527563699031,0.2055160356361152,-0.1589322055013515,-0.0496326188661219,-0.1361546255135921,-0.1508723484969302,-0.1745452279449365,-0.0051658381467259,-0.1745452279449365,-0.1745452279449365,-0.1745452279449365,-0.0600081863500983,0.4117054219272115
A126,GUT_6h_F_G1,GUT,Female,-0.1948885758097921,-0.319476953489988,-0.2826647147788899,0.184225682406142,-0.32897089807609,-0.102135027872813,-0.2793308263096127,-0.4266831537362797,-0.1986730025139664,-0.3802408908846446,-0.3934568096306396,-0.4223614516352941,-0.4013706567125216,-0.3112694382611153,-0.3676732181607102,-0.379336379018806,-0.3685639494072912,-0.3204818595890861,0.1584320393243147,-0.4315431541997836,-0.3943403226998443,-0.4315431541997836,-0.4315431541997836,-0.4315431541997836,-0.4103735457579989,-0.3425931722457462
