Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
LV,Female,0.18666187143405194,0.03443469455954874,0.004596887513582519,0.5356144008166259,0.044088300118983535,0.3477563845728502,0.4484251033341626,-0.01789158394095868,0.6443974312546334,0.6452219824618676,0.23001194757313742,0.09633605016343977,0.18618510404086516,0.5449705394609665,0.6205244961843519,0.07548243021882653,0.6147963222932089,0.7074162334633602,0.740511144740825,0.7093328778680671,0.32922188734157476,0.6434992738935186,0.6036455210858312,0.7577390643230971,0.38799549267051353,0.11911435599906946
LV,Male,0.1984562594154077,0.04137621026303224,-0.0057382638171701,0.4110813935718124,0.02666103947173734,0.3291834105094438,0.3998975492084177,-0.020956410854432637,0.8765261687757114,0.7580286093454787,0.26430247074732943,0.0785643014700209,0.18393320672693916,0.7895821172691033,0.6614173475883846,0.12135049964532589,0.8709430548295444,0.7359526123512035,0.8382292179837135,0.8401399322680568,0.3992748149351918,0.8664868664097053,0.8611026426018515,0.8268457809088124,0.4625783348120889,0.14455927098060112
MB,Female,0.30440504486599623,-0.1043516595830462,-0.10186956255799343,0.3895263941765891,0.05561154965314422,0.10828175780231904,-0.10120166894782671,-0.08076597819828121,-0.08546046060045194,0.326870967808775,0.18865053422405906,0.19264237945995405,0.08173650338020151,-0.11415191873731248,0.2071831081786774,-0.1320784050835369,-0.0566060216190684,-0.12542427978317178,-0.13317696866866405,-0.1557890124912951,-0.025379422246816802,-0.1557890124912951,-0.1557890124912951,-0.1557890124912951,-0.04264665904815852,0.44800105670499113
MB,Male,0.3254929974516411,-0.11385650565466196,-0.12058633308175237,0.4172619529110846,0.03076092971419364,0.10423906283371318,-0.11784388877624208,-0.09720572912645449,-0.0992788560102016,0.29947562568240826,0.22321162829527438,0.17500019612426124,0.07011382509857413,-0.12681616619323524,0.20232455120750328,-0.15382686360532466,-0.060876850361431555,-0.13432518255073062,-0.1512433273064547,-0.1745452279449365,-0.03791880366639982,-0.1745452279449365,-0.1745452279449365,-0.1745452279449365,-0.06273178058060468,0.4283085834312409
ME,Female,0.3053862121274479,-0.1391770141123268,-0.12877118065261572,0.5598355946554022,0.057332755714487336,0.12048559727701971,-0.12792641650115494,-0.11025904500088893,-0.10622859005363686,0.353014122215634,0.1634514491510678,0.18978130917367314,0.09113786362586021,-0.14051748143853762,0.17433084064789003,-0.16062017323700437,-0.09942616706630705,-0.17029934892971063,-0.17096587781668088,-0.189295286405534,-0.08877494839258285,-0.189295286405534,-0.189295286405534,-0.189295286405534,-0.06725274073051515,0.41192616586932845
ME,Male,0.3468106975979712,-0.14122069620605776,-0.12583707884690348,0.6474770355329877,0.03086364306065756,0.12063479199458738,-0.12800042172831344,-0.11714250333485406,-0.11389599928252356,0.37935064029560595,0.17713495174655894,0.16014200352449395,0.06069460685540288,-0.1274939252214322,0.1903579849816064,-0.16277534853503436,-0.09971802906728232,-0.16275219085565426,-0.1745510414667504,-0.1947044977399518,-0.09175001626664023,-0.1947044977399518,-0.1947044977399518,-0.1947044977399518,-0.06808454466972615,0.4662784891325472
OB,Female,0.23579540977358052,-0.13935531895339798,-0.164952373125108,0.485319673771986,0.01562833101348754,0.039037967697815826,-0.12467785572428378,-0.12330383328316201,0.022931623043481,0.22408455180613132,0.16564862593716428,0.08777929031044064,0.028210399503979678,-0.16490991831581464,0.21349485632541296,-0.1905698559171118,-0.08624627099133499,-0.1653047811865844,-0.17482380067327757,-0.1905698559171118,-0.03661121360215428,-0.1905698559171118,-0.1905698559171118,-0.1905698559171118,-0.08820804391345406,0.20970180279528144
OB,Male,0.24041120142345754,-0.13028724648479076,-0.15717632372529328,0.49855516321737225,0.02628694423671372,0.04502025858554888,-0.11535671082826811,-0.12183005836359435,0.001046962299174821,0.2199899875982855,0.177697155915568,0.07985079403942412,0.04193195834229168,-0.15780216067281116,0.2363190890489863,-0.18234910085279524,-0.06822516058469305,-0.15162050051380865,-0.16745562625473945,-0.1823982207420769,-0.04114481750962154,-0.1823982207420769,-0.1823982207420769,-0.1823982207420769,-0.08202293174761056,0.2018112222086268
OV,Female,-0.03631886258102368,0.17832099121725128,0.0781715246379434,0.12920253794482697,0.03230049852747264,0.0347909062996934,0.00042340992143010124,0.06871885483842957,-0.07397480600640059,-0.1403660492945466,0.2656848741787094,0.2452598063227777,0.1598448214262136,-0.10497634775489839,-0.02458789223662384,-0.1835704897675819,-0.10486829522154022,-0.1774349672726327,-0.18873985979963198,-0.2239604934845342,-0.060573355032720155,-0.2239604934845342,-0.2239604934845342,-0.2239604934845342,-0.11322867901072275,-0.10584603318134847
PA,Female,-0.030639159680936445,0.06850344931256541,0.064576099932272,0.06022672710041528,0.008270734870182195,-0.02080292731696922,-0.039744263450830326,0.08579216859296848,-0.028898892345616666,-0.09020517756682153,0.0815834168733937,0.07853141235511221,0.05778173950266312,-0.08542177415578538,-0.06241198653526462,-0.00645838186958958,-0.054274210487621974,-0.0696427868873741,-0.08719043531359276,-0.0931013668216193,-0.07347139371088085,-0.0931013668216193,-0.0931013668216193,-0.0931013668216193,-0.05662725280141149,0.034099190950926464
