Tissue,Pathway,Difference,AbsDiff
LUN,Lactate Dehydrogenase,0.0007979834341195757,0.0007979834341195757
LUN,Pyruvate Dehydrogenase,0.002206579833496855,0.002206579833496855
LUN,TCA Cycle,0.007364221663448578,0.007364221663448578
LUN,Fatty Acid Oxidation,0.0067426395850280225,0.0067426395850280225
LUN,Fatty Acid Synthesis,0.021394929732915294,0.021394929732915294
DP,Glycolysis,-0.01583544327811405,0.01583544327811405
DP,Oxidative PPP,-0.04895422664079846,0.04895422664079846
DP,Non oxidative PPP,-0.057186100391168004,0.057186100391168004
DP,Lactate Dehydrogenase,0.02894636146851616,0.02894636146851616
DP,Pyruvate Dehydrogenase,-0.04170968692348328,0.04170968692348328
DP,TCA Cycle,0.021522357335494846,0.021522357335494846
DP,Fatty Acid Oxidation,0.003422724697998203,0.003422724697998203
DP,Fatty Acid Synthesis,-0.049789670851531465,0.049789670851531465
HC,Glycolysis,0.0537878016608998,0.0537878016608998
HC,Oxidative PPP,-0.01109960286336352,0.01109960286336352
HC,Non oxidative PPP,-0.016568515846207235,0.016568515846207235
HC,Lactate Dehydrogenase,0.007618257779798465,0.007618257779798465
HC,Pyruvate Dehydrogenase,-0.03593631131128391,0.03593631131128391
HC,TCA Cycle,-0.015466161899238981,0.015466161899238981
HC,Fatty Acid Oxidation,-0.015941360632861404,0.015941360632861404
HC,Fatty Acid Synthesis,-0.024450988015797995,0.024450988015797995
