Sample,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,TCA_Cycle,Pyruvate_Dehydrogenase,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Malic_Enzyme,IDH_NADPH,Lactate_Dehydrogenase,Glutaminolysis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A97,0.21920966888179508,0.6199758069881456,0.6896881145046933,0.26839083070163117,0.41375914163738825,0.1736841500323256,0.8013663102513195,0.6432851853478211,0.3603485820939444,0.6735391027885536,-0.03350887528602632,0.22791100555839391,-0.07862042054763045,0.622161032483818,0.5631542385705768,0.5211473609880409,-0.07000255390288891,0.028429663094578506,-0.07727668891719874,-0.04567752525964068,0.024191532849606734,-0.06354670928148667,-0.09310136682161935,-0.012465266719177831,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,0.08926920327941987,0.06084258105688381
A98,-0.09310136682161935,-0.08123802491921302,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.06007181666852901,-0.05008584942497696,-0.06345626795567252,-0.0896301637968562,-0.08351484893899622,0.006738928837152158,-0.05718800477146614,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,0.03678322797590672
A99,-0.09310136682161935,-0.044460615468944226,-0.08750351437847545,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.057721977775850475,-0.041051120908217595,-0.057721977775850475,-0.08905464408077962,-0.09310136682161935,-0.015665989172511774,-0.056900341557590536,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.09310136682161935,-0.016515357935893038
A84,-0.244630644313993,-0.45924067040158734,-0.4858523619813049,0.14510169407699092,-0.19791387879397088,0.11017566215859498,-0.33147744759045344,0.31336781235396427,0.30915746444173164,0.2638125852055373,-0.40438816192114124,-0.4966464174574908,0.2673450175262494,-0.17269603869788946,-0.3315427070736873,-0.2882946569057034,-0.4375672898784065,-0.43267047369705225,-0.4779269782880868,-0.45707304019098766,-0.46403902099288713,-0.4689791925346859,-0.4966464174574908,-0.4500486589842126,-0.4966464174574908,-0.4966464174574908,-0.4966464174574908,-0.3449050688221973,-0.3449050688221973
A85,-0.2881699271760888,-0.4720922435138129,-0.4934249707215823,0.09285438248523625,-0.12328541907379542,0.04466961169821915,-0.3507149466181965,0.17043443836402672,0.24821181907742274,0.21415574676547777,-0.4155522100007071,-0.4966464174574908,0.10047178756327035,-0.2216374893840275,-0.3312583584399883,-0.2894251385523078,-0.4565429200138835,-0.4312489003248753,-0.4811925857598458,-0.45266716980605365,-0.46828995991892935,-0.47289053564038447,-0.4966464174574908,-0.44899631301576326,-0.4966464174574908,-0.4966464174574908,-0.4966464174574908,-0.36676893067540883,-0.36676893067540883
A86,0.045604365877076725,0.049885574957477974,-0.004685250564867863,0.04168635159826378,0.035861435117567786,0.0044325418464981475,-0.029048924252343997,-0.06480633481604825,0.005673625622671388,0.11033049469804868,0.017316790785248837,-0.06350371504238911,-0.002762639492455518,0.07635452838340684,0.05225118205719914,0.03205222058769436,-0.04427044554512781,0.014010466529153748,-0.06480633481604825,-0.001347435087810267,-0.04010240975523047,-0.016000323325965654,-0.06480633481604825,-0.01612608996078238,-0.06480633481604825,-0.06480633481604825,-0.06480633481604825,-0.0318284540648055,0.021538981773678023
A87,0.018897119726004358,0.04843961957306259,-0.0009633841728516057,0.04604639280081166,-0.00012086974758011848,0.01896648933966366,-0.017918789115425354,-0.0522411627618251,0.014164372108575324,0.05558272605938394,0.037455401410383754,-0.05244940497947318,-0.008144401046067076,0.08676618228416336,0.031900237205186144,0.008354103790144368,-0.040175686824002674,0.01565872756901479,-0.06480633481604825,0.007296176158578249,-0.006759258250660746,-0.005336558741584979,-0.06480633481604825,-0.0015280183095618821,-0.06480633481604825,-0.06480633481604825,-0.06480633481604825,-0.019442117157488975,0.019689845999272454
A88,0.009735612742496125,0.024928765284104315,-0.022077380225985835,0.034368750712573976,0.006434781736102943,0.004881259331002447,-0.025255670469047878,-0.05561246902539854,-0.0006477817885373188,0.04646253211957721,0.023195106782741032,-0.06034534073869885,-0.03334993853518904,0.07404331770658484,0.049416670815961766,0.018901607418961325,-0.03943596674821326,0.037387810924569165,-0.06480633481604825,0.020914546013697077,-0.03541726225060138,-0.009222959639467093,-0.06480633481604825,-0.0004623236044377643,-0.06480633481604825,-0.06480633481604825,-0.06414143006238752,-0.0344566018880226,0.0021612984528771584
A89,0.040111568757613625,0.04968552329611914,0.004165489408768888,0.05084947356888711,0.02816835359081421,0.014965696056578437,-0.03161928202817048,-0.02968156986204104,0.006630000913666043,0.10561076772919886,0.028162191534441217,-0.06480633481604825,0.005739398706600923,0.11115383329155679,0.05728380379969614,0.04120057124508433,-0.04350213415629556,0.03393954309531841,-0.06480633481604825,0.0030981870675311912,-0.026238733115311427,-0.009719592993120585,-0.06480633481604825,0.02161856906526441,-0.06480633481604825,-0.06480633481604825,-0.06480633481604825,-0.028310288378958465,0.03470716294894133
A9,0.028079860154563402,0.03705992095669741,-0.006755248498457531,0.042793313133685396,0.019412647115468612,0.011212454212657,-0.010529173592394955,-0.044510627339192234,0.007318007683095429,0.06905213880987204,0.042335513713816886,-0.04676305294561608,-0.015871865523906514,0.07366077142222949,0.06680033284502435,0.04523945804016152,-0.034811439960076976,0.05343612213600621,-0.048373125085121184,0.034166665509708705,-0.03499586249927576,0.0076353207890097335,-0.048373125085121184,0.02602817099608154,-0.048373125085121184,-0.048373125085121184,-0.048373125085121184,-0.019194879045183855,0.03402810398860606
A90,0.007316157053574898,0.017143852905318724,-0.01974978954929396,0.03682867164364104,0.012324377687692123,0.007663918629154276,-0.02552859007148059,-0.04918346638323526,0.005836909208938756,0.05111308608888354,0.03242116674062598,-0.05852857675870002,-0.03425166985933138,0.07397548339836302,0.04767683898752678,0.012386764579896098,-0.047123162716879094,0.05014194586237217,-0.06480633481604825,0.020914546013697077,-0.03347385201618014,-0.007624079068072248,-0.06480633481604825,0.012343510271734748,-0.06480633481604825,-0.06480633481604825,-0.06480633481604825,-0.03303575333143677,-0.0035187522963370105
A91,0.18394918922530007,0.034108384569691466,0.005342682928897766,0.3646065096760983,0.05850146640597788,0.42725771439791044,-0.019836644387397177,-0.019836644387397177,0.2942391005356496,0.47783791899795075,0.6813384864194995,0.620421867151849,0.6600218267342992,0.2533572249272141,0.12545090007235016,0.22391191815986633,0.5736727660967275,0.6267803669421592,0.08533353103842096,0.7127818291267665,0.6890226983526418,0.784110459001411,0.7813237715054541,0.36039213327016395,0.7221403178307599,0.6878563152919812,0.8396976036871886,0.4106408164820328,0.12119456656014622
A92,0.1859784785061191,0.03600410012123552,0.005293826655695846,0.31264019970022905,0.022836117549499185,0.45370840288536113,-0.019836644387397177,-0.019836644387397177,0.21651611347237487,0.6208185090542788,0.6640039511740026,0.6275409835506454,0.6557564944391496,0.20810707319963218,0.09210422562228283,0.1614915697177347,0.6026147472783622,0.5305266153202574,0.0897744879635624,0.7326433379501791,0.7097586273115435,0.7846207069779404,0.7342345966249529,0.2835936632690134,0.649402690319165,0.6350344161177884,0.7254093607399891,0.4013453622325348,0.12063555027977031
A93,0.1986634551836821,0.04038000045362031,0.007840876412099948,0.3629393829717176,0.026857928757773958,0.4944787394383487,-0.014138055988242866,-0.019836644387397177,0.3017268192773396,0.6102882501237785,0.738886778065323,0.7278876646358526,0.7185627968254458,0.24654705131476812,0.08113147071739397,0.1717121244972834,0.563264844853211,0.6771378948036662,0.07501798337321107,0.5620075166965529,0.8140811348020798,0.7980042779636084,0.7222484272071036,0.3210748195706928,0.7017928824497681,0.6633400199469227,0.7552252451758655,0.4040225011472685,0.12870799054551196
A72,0.2548659588526896,-0.03372923343087167,-0.11340684080899904,0.06677538246487025,0.02365149145556522,0.006455670785575268,-0.011584600669730771,0.08907859968824072,-0.10298108821105253,0.526501986067166,-0.07281645188649058,0.019503812328957704,0.03007042452383596,0.13112997546264882,0.10902949745835466,0.09482352789477522,-0.16783761618028548,-0.11183836139788483,-0.19265387985640534,-0.14861573375540554,-0.12893677071332288,-0.14179777725911766,-0.18876203697263863,-0.13859579297305358,-0.19265387985640534,-0.19265387985640534,-0.19265387985640534,-0.03778194278148417,-0.04457729004523325
