Tissue,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
LUN,0.02772589496256685,0.04393370346208508,-0.00393862180908755,0.0742189130560782,0.01763690559366779,0.04563803889655975,0.013553300833093352,-0.015176786320835935,-0.05144174753686,-0.011638852837957039,0.08178389106295894,0.048210295352937,0.02648713380213775,-0.036607198445272174,0.04046016347077674,-0.056589729950584644,0.02130181649959319,-0.023003251040154268,-0.0007464597376978497,-0.056589729950584644,0.01086129688004262,-0.056589729950584644,-0.056589729950584644,-0.056523239475218576,-0.02201252362072252,0.02384440205924635
LV,0.19255906542472984,0.037905452411290494,-0.0005706881517937902,0.47334789719421916,0.03537466979536044,0.338469897541147,0.4241613262712901,-0.01942399739769566,0.7604618000151724,0.7016252959036732,0.24715720916023343,0.08745017581673034,0.18505915538390216,0.6672763283650349,0.6409709218863682,0.09841646493207622,0.7428696885613767,0.7216844229072819,0.7893701813622693,0.7747364050680619,0.3642483511383833,0.754993070151612,0.7323740818438415,0.7922924226159547,0.42528691374130123,0.13183681348983528
MB,0.31494902115881873,-0.1091040826188541,-0.11122794781987291,0.40339417354383683,0.04318623968366893,0.10626041031801611,-0.1095227788620344,-0.08898585366236786,-0.09236965830532677,0.31317329674559163,0.20593108125966672,0.18382128779210766,0.0759251642393878,-0.12048404246527386,0.20475382969309036,-0.14295263434443078,-0.05874143599024998,-0.1298747311669512,-0.14221014798755938,-0.1651671202181158,-0.031649112956608313,-0.1651671202181158,-0.1651671202181158,-0.1651671202181158,-0.05268921981438159,0.438154820068116
ME,0.32609845486270955,-0.14019885515919228,-0.1273041297497596,0.6036563150941949,0.04409819938757245,0.12056019463580354,-0.1279634191147342,-0.1137007741678715,-0.11006229466808022,0.36618238125561997,0.17029320044881335,0.17496165634908353,0.07591623524063154,-0.1340057033299849,0.1823444128147482,-0.16169776088601936,-0.09957209806679469,-0.16652576989268245,-0.17275845964171563,-0.1919998920727429,-0.09026248232961154,-0.1919998920727429,-0.1919998920727429,-0.1919998920727429,-0.06766864270012066,0.43910232750093786
OB,0.23810330559851903,-0.13482128271909438,-0.16106434842520062,0.4919374184946791,0.020957637625100632,0.04202911314168235,-0.12001728327627595,-0.1225669458233782,0.011989292671327912,0.22203726970220844,0.17167289092636615,0.08381504217493238,0.03507117892313568,-0.1613560394943129,0.22490697268719964,-0.18645947838495353,-0.07723571578801403,-0.1584626408501965,-0.17113971346400852,-0.18648403832959434,-0.03887801555588791,-0.18648403832959434,-0.18648403832959434,-0.18648403832959434,-0.08511548783053231,0.20575651250195412
OV,-0.03631886258102368,0.17832099121725128,0.0781715246379434,0.12920253794482697,0.03230049852747264,0.0347909062996934,0.00042340992143010124,0.06871885483842957,-0.07397480600640059,-0.1403660492945466,0.2656848741787094,0.2452598063227777,0.1598448214262136,-0.10497634775489839,-0.02458789223662384,-0.1835704897675819,-0.10486829522154022,-0.1774349672726327,-0.18873985979963198,-0.2239604934845342,-0.060573355032720155,-0.2239604934845342,-0.2239604934845342,-0.2239604934845342,-0.11322867901072275,-0.10584603318134847
PA,-0.015319579840468217,0.04326573194412455,0.032288049966136004,0.03011336355020764,0.004135367435091102,-0.010401463658484605,-0.01987213172541516,0.04289608429648424,-0.014449446172808328,-0.04510258878341076,0.05541960512674445,0.059288952281636165,0.04275135640988997,-0.04093759013169645,-0.028501207305825404,0.08094748430602744,-0.01119468577815355,-0.03482139344368705,-0.04359521765679638,-0.04655068341080965,-0.036342774987589,-0.04655068341080965,-0.04655068341080965,-0.04655068341080965,-0.028313626400705737,0.08114008914464307
Ps,0.34013143829470804,-0.11455258506865602,-0.105664167849611,0.49515806041426913,0.05149465456788559,0.1221523188495806,-0.11236518279354031,-0.09580054579308107,-0.09943202217875842,0.3735470393408159,0.1894747625150045,0.19694743135561119,0.08416842078389843,-0.12043068742126639,0.20003205741907432,-0.14784754125990157,-0.07955618340605625,-0.14863080145050894,-0.1538262885365353,-0.1731717251144157,-0.05830676084084095,-0.1731717251144157,-0.1731717251144157,-0.1731717251144157,-0.05055233402324916,0.46244783228145225
SK,0.05826186753990039,-0.015531099554161713,-0.09106634428836842,0.25086472751725164,-0.01830254019207678,-0.010041731480341489,-0.06546456399769483,-0.04056875718976323,-0.08504507360209028,-0.056894451106237386,0.021482116281558168,0.010926728187520001,0.0033220240333172993,-0.16233520164862084,-0.1192050408297111,-0.17841039580103352,-0.13486629573630649,-0.15710979744430573,-0.16356456052883223,-0.1917211546274967,-0.1325840741664176,-0.20193305426428293,-0.20193305426428293,-0.20193305426428293,-0.1008313433412478,-0.06132156303038414
SP,0.04685838843974466,0.05372780923098406,0.0346376596288715,0.05109522531170626,-0.01497977385916375,0.02381244605582733,-0.00843748497123108,-0.04177987247545566,-0.04674716241253385,-0.0009184856388427705,0.04722242287848946,0.00429379377547921,0.00486434750088781,0.0070037308563767695,-0.0251623796922859,-0.03312216354540998,0.015530507591515919,-0.04438100757185517,-0.030744050978429936,-0.04674716241253385,0.023833026001732753,-0.04674716241253385,-0.04674716241253385,0.02551555976481375,-0.02805125993986049,-0.015277726932990421
SQ,-0.08337679319501827,0.11016972458485672,0.13842049270825366,0.22370839624354324,0.109837145079037,-0.10386029547078413,-0.15698080166149095,0.14853191691581732,-0.17364907990361605,-0.42122634726801006,0.10947934614782087,0.02179852904289176,0.08680600704532704,-0.4533946601039679,-0.34412426122158435,-0.4659330091929251,-0.4211334141280506,-0.38835747686549527,-0.44720010540265276,-0.47277522092966484,-0.39448354634082217,-0.47277522092966484,-0.47277522092966484,-0.47277522092966484,-0.2900848882244023,-0.3094810534283727
Str,0.24943639935581907,-0.10788353949157421,-0.09870456395224908,0.35222954762327024,0.012632448659277321,0.06831022003247675,-0.09397342764625476,-0.08918680930996889,-0.07293302980954271,0.24144325422130067,0.14961853906184822,0.08350511892344528,0.025282675471593317,-0.13870505898674104,0.2289462308762157,-0.15133231394747565,-0.05657756336699447,-0.11809361809355028,-0.13665533343062203,-0.16101706021570025,-0.03320321230905293,-0.16101706021570025,-0.16101706021570025,-0.16101706021570025,-0.060710570822936016,0.33467290325765847
TE,0.41979735421457187,0.23201736406976964,-0.0008107135790477,0.9299083840526009,0.1115365353348348,0.06276829482590673,0.1032007176348146,0.0012521886541514,0.0046127780401755605,-0.0008107135790477,0.05767539352616062,0.024277828389294858,0.02217029629562048,0.04840482409764182,0.016300801715324963,0.00019120722677114005,0.03248044676479782,-0.0008107135790477,-0.0008107135790477,-0.0008107135790477,0.10560634161917579,-0.0008107135790477,-0.0008107135790477,-0.0008107135790477,-0.0008107135790477,0.16608511553341282
TH,0.30279417824368837,-0.10984307499912409,-0.11322815553011496,0.4019086865284233,0.02368136946209869,0.08939421185482659,-0.11150811817940413,-0.09916510643362209,-0.08534977086441432,0.3055847649182228,0.1465457654445666,0.10005561905821622,0.030425347681720383,-0.1454231047206466,0.24632560577012147,-0.16042138226933472,-0.07781820071459147,-0.14047421431129198,-0.15113246464127744,-0.1745310946136589,-0.0533226071002388,-0.1745310946136589,-0.1745310946136589,-0.1745310946136589,-0.061900957092873556,0.42307445791801024
UT,0.017051256805088878,0.06914553738939042,0.0242536270990385,0.09441094170390843,0.0324557292761438,0.05124526191128762,0.03589584545056288,-0.02204836013175692,-0.033016123196158945,-0.015350015314658442,0.22847091709229236,0.22139394654749128,0.14621598177383416,-0.0172721384554974,0.11604641145424828,-0.03188379160001512,0.01038935557432984,-0.03758583241526448,-0.0051479809915091195,-0.0564972465700974,0.05525158995821796,-0.0564972465700974,-0.0564972465700974,-0.0564972465700974,-0.0285690650454077,0.01077100161685354
VF,-0.081489476795093,0.23645190079321782,0.1583994980201631,0.2169896070885776,0.07870065808983948,-0.052376109809608495,-0.11990197217055831,0.1824321710970707,-0.011402461671637925,-0.051295911360854284,0.19983217291478886,0.15195483213551292,0.15287159117561175,-0.26424124125063664,-0.02481911483333065,-0.2921476704844952,-0.21265839375945675,-0.21193174716321184,-0.27389791304557676,-0.3053826149746498,-0.21079299058603387,-0.3053826149746498,-0.3053826149746498,-0.3053826149746498,-0.05253891203856165,-0.08490024127489762
